Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Garrett Cooper,MIA,82,324,305,28,78,11,1,13,46,0,0,17,97,9,1,0,1,0
Garrett Cooper,SDP,41,133,117,14,28,7,0,4,15,0,0,14,35,6,1,0,1,0
Franchy Cordero*,NYY,24,71,69,9,13,2,0,6,13,0,0,2,25,0,0,0,0,0
Carlos Correa,MIN,135,580,514,60,118,29,2,18,65,0,0,59,131,30,4,0,3,3
Danny Coulombe*,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colton Cowser*,BAL,26,77,61,15,7,2,0,0,4,1,0,13,22,1,2,0,1,0
Austin Cox*,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Crawford*,SFG,93,320,283,31,55,11,1,7,38,3,0,28,81,5,4,1,4,1
J.P. Crawford*,SEA,145,638,534,94,142,35,0,19,65,2,0,94,125,7,5,3,2,1
Kutter Crawford,BOS,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Cron,TOT,71,278,258,38,64,12,0,12,37,0,0,17,65,13,1,0,2,0
C.J. Cron,COL,56,224,208,31,54,12,0,11,32,0,0,13,50,10,1,0,2,0
C.J. Cron,LAA,15,54,50,7,10,0,0,1,5,0,0,4,15,3,0,0,0,0
Jake Cronenworth*,SDP,127,522,458,54,105,24,7,10,48,6,1,46,97,8,11,1,5,2
Tyler Cropley,KCR,2,7,6,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0
Pete Crow-Armstrong*,CHC,13,19,14,3,0,0,0,0,1,2,2,3,7,0,0,2,0,0
Nelson Cruz,SDP,49,152,143,9,35,5,1,5,23,1,0,6,46,2,2,0,1,1
Oneil Cruz*,PIT,9,40,32,7,8,1,0,1,4,3,0,7,8,0,0,0,1,0
Charlie Culberson,ATL,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis d'Arnaud,ATL,74,292,267,31,60,13,0,11,39,0,0,21,67,6,3,0,1,0
David Dahl*,SDP,4,9,9,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0
Bobby Dalbec,BOS,21,53,49,6,10,2,0,1,1,1,0,4,28,0,0,0,0,0
Henry Davis,PIT,62,255,225,27,48,10,0,7,24,3,5,25,69,3,4,0,1,2
J.D. Davis,SFG,144,546,480,61,119,23,1,18,69,1,0,52,152,16,6,0,6,0
Jonathan Davis,MIA,34,104,90,22,22,4,1,2,10,1,2,7,29,1,2,2,2,0
Yonathan Daza,COL,24,80,74,8,20,6,0,0,7,1,0,3,13,5,1,1,1,0
Bryan De La Cruz,MIA,153,626,579,60,149,32,0,19,78,4,1,40,142,18,1,0,5,0
Elly De La Cruz#,CIN,98,427,388,67,91,15,7,13,44,35,8,35,144,6,2,1,1,3
Paul DeJong,TOT,112,400,372,41,77,13,0,14,38,4,4,21,121,10,5,0,2,0
Paul DeJong,TOT,99,356,328,40,74,13,0,14,37,4,4,21,103,9,5,0,2,0
Paul DeJong,STL,81,306,279,38,65,11,0,13,32,4,4,21,87,8,5,0,1,0
Paul DeJong,TOR,13,44,44,1,3,0,0,0,1,0,0,0,18,1,0,0,0,0
Paul DeJong,SFG,18,50,49,2,9,2,0,1,5,0,0,0,16,1,0,0,1,0
Jason Delay,PIT,70,187,167,20,42,11,1,1,18,0,0,14,44,5,3,2,1,0
Jonny DeLuca,LAD,24,45,42,5,11,1,0,2,6,1,0,3,8,0,0,0,0,0
Rafael Devers*,BOS,153,656,580,90,157,34,0,33,100,5,1,62,126,15,11,0,3,10
Aledmys Díaz,OAK,109,344,315,25,72,20,1,4,24,1,0,17,66,14,7,1,4,2
