Name,Tm,WAR
Michael Stefanic,LAA,0.2
Tyler Stephenson,CIN,0.7
Andrew Stevenson*,MIN,0.1
Cal Stevenson*,SFG,0
DJ Stewart*,NYM,0.3
Trevor Story,BOS,0.8
Bryson Stott*,PHI,4.3
Kyle Stowers*,BAL,-0.3
Myles Straw,CLE,1.1
Garrett Stubbs*,PHI,0.2
Eugenio Suárez,SEA,2.3
Robert Suarez,SDP,
Brett Sullivan*,SDP,0.1
Brent Suter*,COL,0
Jack Suwinski*,PIT,2.2
Seiya Suzuki,CHC,2.8
Dansby Swanson,CHC,4.8
Domingo Tapia,SDP,0
Raimel Tapia*,3TM,-0.2
Fernando Tatis Jr.,SDP,5.5
Mike Tauchman*,CHC,2.4
Leody Taveras#,TEX,2.6
Chris Taylor,LAD,1.4
Michael A. Taylor,MIN,1.9
Samad Taylor,KCR,-0.2
Tyrone Taylor,MIL,0.5
Rowdy Tellez*,MIL,-0.6
José Tena*,CLE,-0.2
Matt Thaiss*,LAA,0.4
Alek Thomas*,ARI,1.1
Cody Thomas*,OAK,-0.1
Lane Thomas,WSN,3.3
Bubba Thompson,TEX,-0.4
Trayce Thompson,2TM,-0.7
Michael Toglia#,COL,-1.5
Justin Topa,SEA,0
Spencer Torkelson,DET,0.8
Abraham Toro#,MIL,0.3
Luis Torrens,2TM,-0.1
Gleyber Torres,NYY,2.9
Ezequiel Tovar,COL,2.5
Taylor Trammell*,SEA,-0.4
Alan Trejo,COL,0
Jose Trevino,NYY,0.5
Jared Triolo,PIT,2.1
Chadwick Tromp,ATL,-0.2
Mike Trout,LAA,2.9
Cole Tucker#,COL,0
Kyle Tucker*,HOU,5.4
Brice Turang*,MIL,1.6
Justin Turner,BOS,2.1
Trea Turner,PHI,3.4
Luis Urías,2TM,-0.2
Ramón Urías,BAL,1.8
Gio Urshela,LAA,0.8
Enmanuel Valdez*,BOS,0
Ildemaro Vargas#,WSN,0.7
Miguel Vargas,LAD,-0.1
Daulton Varsho*,TOR,3.9
Andrew Vaughn,CHW,0.9
Terrin Vavra*,BAL,-0.5
Christian Vázquez,MIN,-0.3
Andrew Velazquez#,LAA,-0.5
Nelson Velázquez,2TM,1.2
Alex Verdugo*,BOS,2.6
Alex Vesia*,LAD,0
Will Vest,DET,0
Mark Vientos,NYM,-1.1
Matt Vierling,DET,1.5
David Villar,SFG,-0.4
Meibrys Viloria*,CLE,-0.2
Daniel Vogelbach*,NYM,0.2
Luke Voit,MIL,-0.2
Anthony Volpe,NYY,3.3
Jason Vosler*,CIN,-0.4
Joey Votto*,CIN,-0.1
LaMonte Wade Jr.*,SFG,2.7
Tyler Wade*,OAK,-0.3
Adam Wainwright,STL,0
Christian Walker,ARI,3.8
Jordan Walker,STL,-0.1
Forrest Wall*,ATL,0.3
Chad Wallach,LAA,0.1
Matt Wallner*,MIN,2.2
Taylor Walls#,TBR,2
Jared Walsh*,LAA,-0.9
Taylor Ward,LAA,1.7
Drew Waters#,KCR,0.7
Austin Wells*,NYY,0.1
Joey Wendle*,MIA,-0.2
Hayden Wesneski,CHC,0
Jordan Westburg,BAL,1.2
Eli White,ATL,0
Garrett Whitlock,BOS,0
Joey Wiemer,MIL,0.9
Alika Williams,PIT,-0.2
Luke Williams,2TM,-0.3
Weston Wilson,PHI,0.2
Jesse Winker*,MIL,-0.7
Masyn Winn,STL,-0.6
Patrick Wisdom,CHC,0.3
Brett Wisely*,SFG,-0.2
Bobby Witt Jr.,KCR,4.4
Nick Wittgren,KCR,0
Connor Wong,BOS,2.2
Kolten Wong*,2TM,-0.9
Austin Wynns,3TM,-0.2
Ryan Yarbrough,LAD,0
Mike Yastrzemski*,SFG,2.4
Christian Yelich*,MIL,3.6
Juan Yepez,STL,-0.7
Masataka Yoshida*,BOS,1.4
Alex Young*,CIN,0
Jacob Young,WSN,0.6
Jared Young*,CHC,-0.1
Seby Zavala,2TM,-0.3
Mike Zunino,CLE,-0.5
